id,name,category,main_category,currency,deadline,goal,launched,pledged,state,backers,country,usd_pledged,usd_pledged_real,usd_goal_real
295581155,"Southern Gentlemen ""Teaser""",Film & Video,Film & Video,USD,2012-06-21,4000,2012-06-15 04:09:34,75,failed,2,US,75,75,4000
2136225078,Young aspiring country artist trying to make his start,Country & Folk,Music,USD,2012-10-05,1500,2012-08-06 17:52:37,28,failed,4,US,28,28,1500
705402918,"Switch - A fast-paced, ditch your hand card game",Tabletop Games,Games,USD,2016-11-13,15,2016-10-14 03:16:11,690,successful,41,US,30,690,15
642145784,Palo Alto site specific Digital DNA restoration,Public Art,Art,USD,2017-11-19,15000,2017-10-10 19:46:10,508,failed,13,US,27,508,15000
994612019,Final Prophet,Video Games,Games,USD,2017-03-16,15000,2017-02-14 20:47:28,311,failed,15,US,70,311,15000
897984748,Pro-Protector Personal Toothbrush Holder,Gadgets,Technology,USD,2015-06-11,35000,2015-05-12 18:34:40,75,failed,3,US,75,75,35000
78100125,"NON-GMO gluten,,dairy and wheat free Cupcake Revolution",Small Batch,Food,USD,2015-06-28,30000,2015-05-14 08:32:38,26,failed,2,US,26,26,30000
278479649,The Soul of the Full-Length Manuscript (Canceled),Nonfiction,Publishing,USD,2016-04-18,6000,2016-03-19 14:08:34,690,canceled,15,US,690,690,6000
109092997,For The Love Of Unicorns,Shorts,Film & Video,USD,2014-02-02,6500,2014-01-03 03:03:06,7491,successful,111,US,7491,7491,6500
396838953,Fine Art Brushes by Robin Moses,Painting,Art,USD,2016-06-05,20000,2016-05-06 17:15:01,6533,failed,179,US,6533,6533,20000
120342308,"""Acting White"": Who Determines Your Scale of Blackness?",Documentary,Film & Video,USD,2013-02-24,400,2013-01-25 04:04:02,425,successful,11,US,425,425,400
1499027313,Savage Hearts: A Family Affair: FINAL COUNTDOWN!!,Country & Folk,Music,USD,2016-07-08,6800,2016-06-13 04:21:34,6820,successful,69,US,5591,6820,6800
2102832119,Agent Go!,Video Games,Games,EUR,2017-03-09,1000,2017-02-07 16:21:47,0,failed,0,DE,0,0,1060.6
124644661,Kimber Collection,Ready-to-wear,Fashion,USD,2016-09-24,50000,2016-08-25 23:39:26,46,failed,1,US,0,46,50000
1614359232,Drawing the Americas (Canceled),Mixed Media,Art,USD,2012-10-13,40000,2012-08-14 20:36:09,0,canceled,0,US,0,0,40000
1622334461,"""I Make Women Cry & Throw Out Their Shit"", by Tamara Rubin",Art Books,Publishing,USD,2017-07-16,2500,2017-06-22 05:50:51,2991,successful,72,US,0,2991,2500
738777780,Direction Kids Knowledge & Cultural Exchange Tours | 12,Technology,Technology,EUR,2017-06-28,59000,2017-05-31 08:06:02,120,canceled,3,IT,133.51,136.94,67330.85
2071690065,Wallace House,Graphic Novels,Comics,EUR,2017-11-28,8500,2017-10-25 16:46:50,8710,successful,195,IT,1753.17,10351.79,10102.21
2027189829,Iter: Travel Smart with local insights,Apps,Technology,USD,2016-05-05,20000,2016-04-05 00:06:09,227,failed,8,US,227,227,20000
1002857267,Tankwork: Cooperative Tank Action,Video Games,Games,USD,2015-12-16,10000,2015-11-16 20:00:28,1745,failed,30,US,1745,1745,10000
516800748,Blood Song: Origins Trilogy,Graphic Novels,Comics,USD,2014-12-28,4400,2014-11-28 21:36:26,260,failed,6,US,260,260,4400
207467920,Merlin's March - 20 Levels - D&D 5E & Pathfinder Compatible,Tabletop Games,Games,USD,2016-04-01,500,2016-03-11 06:38:38,3884,successful,83,US,3884,3884,500
1439646330,Manny Garcia's New EP!,Electronic Music,Music,USD,2010-12-11,2200,2010-10-29 04:06:18,2504,successful,39,US,2504,2504,2200
274377961,BOOTSY BBQ COMPANY,Food,Food,USD,2012-02-25,15000,2012-01-26 23:13:18,0,failed,0,US,0,0,15000
49924786,The Boxer Rebellion,Fiction,Publishing,USD,2012-09-01,3500,2012-07-30 07:06:55,10,failed,1,US,10,10,3500
490719488,The Corona Parallax: Book 1 of the Parallax Wars,Fiction,Publishing,USD,2018-02-18,2500,2017-12-21 04:56:20,5,live,1,US,5,5,2500
955327107,THE SMOOTHIE CAMPER,Events,Food,GBP,2015-09-17,15000,2015-08-18 01:14:49,10,failed,1,GB,15.64,15.65,23470.14
1911452059,HORSES. Laser cut acrylic sculptures.,Product Design,Design,USD,2012-12-10,200,2012-11-23 19:48:23,61,failed,2,US,61,61,200
173238441,Nash Vegas - The Nashville Fame Game,Documentary,Film & Video,USD,2011-11-22,12000,2011-11-01 02:55:48,843,failed,23,US,843,843,12000
1186259947,The Church Owls are recording their first studio album,Indie Rock,Music,USD,2012-12-20,2500,2012-11-20 01:34:56,240,failed,7,US,240,240,2500
900726465,(Olympic)  Going For Gold Tank Project,Fashion,Fashion,USD,2012-07-20,3500,2012-06-20 21:01:35,13437,successful,576,US,13437,13437,3500
1107909543,Murphy's Law Moonshine!,Small Batch,Food,CAD,2015-10-23,20000,2015-09-23 19:26:56,20,failed,1,CA,15.11,15.31,15305.73
340547345,RoundTable Theatrical presents: “A Chorus Line” (Canceled),Musical,Theater,CAD,2015-03-02,10000,2015-02-02 16:56:57,3035,canceled,32,CA,2383.99,2434.62,8021.82
878340217,TheBetterDatingSite.com... its NOT just for dating!,Web,Technology,USD,2016-02-15,50000,2015-12-17 12:00:20,0,failed,0,US,0,0,50000
962048154,Sanctum,Shorts,Film & Video,USD,2013-09-23,2500,2013-08-24 04:02:03,3124.5,successful,66,US,3124.5,3124.5,2500
851851713,Because Physics (Canceled),Graphic Design,Design,USD,2015-01-02,20000,2014-12-03 00:26:39,0,canceled,0,US,0,0,20000
324109569,Suite Rose no. 3,Classical Music,Music,USD,2016-02-06,3250,2016-01-07 04:44:30,200,failed,7,US,200,200,3250
590649444,Dusty Smirl Band,Country & Folk,Music,USD,2013-11-25,5000,2013-10-26 00:23:58,335,failed,7,US,335,335,5000
56588394,Custom Student Designed T-shirts,Ready-to-wear,Fashion,GBP,2015-02-13,400,2015-01-22 12:28:52,51,failed,3,GB,77.3,78.43,615.11
808729782,Gourmet as fuck,Cookbooks,Food,NZD,2014-10-27,10000,2014-09-27 02:00:48,65,failed,2,NZ,52.16,50.74,7805.79
1855813678,London through Brexit: A changing city,Fine Art,Photography,GBP,2017-02-17,1600,2017-01-18 13:52:53,0,canceled,0,GB,0,0,1987.87
1040665613,Jimi Hoffman and The .338's / Ordinary Sinner,Country & Folk,Music,USD,2012-10-06,5000,2012-08-13 21:02:43,300,failed,1,US,300,300,5000
714618985,"From Out of the Ashes a Phoenix Emerges, is controversial.",Nonfiction,Publishing,USD,2017-02-15,1000,2017-01-16 03:46:37,10,failed,1,US,0,10,1000
1762432986,"Quadcopter Camera Guard for Phantom 1, 2, V, & V+ (Canceled)",Design,Design,USD,2014-08-09,1200,2014-07-08 01:15:12,272,canceled,6,US,272,272,1200
2106700216,The Unemployables,Technology,Technology,USD,2016-10-02,25000,2016-09-02 15:46:02,1,failed,1,US,0,1,25000
839082076,The World's Best Toilet Odor Removal System || The Odorless,Product Design,Design,USD,2015-11-13,27000,2015-09-29 02:24:11,33633,successful,143,US,33633,33633,27000
1502448308,DINO RUNNER,Action,Film & Video,USD,2016-05-16,15000,2016-04-16 19:36:00,7,failed,3,US,7,7,15000
947885649,"""Water Wars""",Dance,Dance,USD,2012-02-19,1500,2012-01-20 02:50:25,1500,successful,27,US,1500,1500,1500
1546180813,The forgotten Jews of Ukraine ??????? ????? ???????,Nonfiction,Publishing,USD,2015-11-06,5000,2015-10-07 11:56:52,474,failed,14,US,474,474,5000
495167302,Deterrent - Feature Film,Drama,Film & Video,USD,2017-01-28,50000,2016-11-29 16:28:36,10,failed,1,US,10,10,50000
1524413745,Motel California,Horror,Film & Video,USD,2014-12-16,12500,2014-10-17 06:12:43,186,failed,4,US,186,186,12500
1838608002,Howard & Chloe Go to Bunnyland,Children's Books,Publishing,USD,2013-05-05,2500,2013-03-06 17:02:04,2864,successful,41,US,2864,2864,2500
928980085,Gametee: The World's Finest Wallet for Videogamers,Fashion,Fashion,GBP,2015-04-05,5000,2015-03-08 20:30:46,76662,successful,1963,GB,115286.75,111859.81,7295.65
1088148715,Enchained Movie Premiere,Drama,Film & Video,GBP,2015-07-11,1000,2015-06-20 16:13:04,0,failed,0,GB,0,0,1559.36
150844602,The Adventures of Dash: A 2D platform and puzzle adventure!,Video Games,Games,USD,2013-04-03,400000,2013-03-04 18:43:06,33121.67,failed,496,US,33121.67,33121.67,400000
1708015904,Help bring You & Me to Europe,Dance,Dance,USD,2013-09-14,10000,2013-07-31 16:34:19,10073,successful,160,US,10073,10073,10000
1634654141,Dreams Becoming Reality Through Family & Friends...,Rock,Music,USD,2012-05-02,3500,2012-03-23 01:18:55,830,failed,9,US,830,830,3500
1389897463,A Documentary On The Real Road Life Of Rock & Roll,Documentary,Film & Video,USD,2016-05-08,37000,2016-04-08 08:31:30,0,failed,0,US,0,0,37000
8099384,Shannon Allen's Bluesy Inspirational Album,Rock,Music,USD,2013-03-11,4000,2013-02-15 17:40:22,2,failed,1,US,2,2,4000
1405319460,360° Full Cover Case Looktosafety® - A new Brand is born,Gadgets,Technology,EUR,2016-12-28,10000,2016-11-28 20:25:23,172,failed,13,DE,23.31,181.3,10540.96
1236694090,Josh and The Sock Army,Children's Books,Publishing,USD,2012-07-01,3000,2012-06-01 22:27:03,3025,successful,52,US,3025,3025,3000
1636947208,Support the Arts: 2011 Fire Dancing Expo In Union Square,Dance,Dance,USD,2011-02-18,4450,2011-01-28 01:51:21,4705,successful,119,US,4705,4705,4450
517690368,"EZ Wallet - A minimalist Wallet for Cards, Cash, and COINS!",Accessories,Fashion,USD,2014-06-07,9000,2014-05-08 15:53:21,1755,failed,98,US,1755,1755,9000
286362542,Benjamin's Fate - Classic Action Adventure RPG,Video Games,Games,USD,2017-03-26,5200,2017-02-24 17:04:53,41,canceled,6,US,0,41,5200
833116887,Politically Incorrect Urban Animated Series GOING FOR BROKE,Webseries,Film & Video,USD,2013-07-01,3000,2013-06-11 03:09:20,0,failed,0,US,0,0,3000
634081561,Terrayn - Build Your Legacy!,Video Games,Games,USD,2014-03-18,300000,2014-02-16 02:00:27,21710,failed,73,US,21710,21710,300000
1478070896,Living Proof Magazine Issue #5,Art,Art,USD,2010-04-29,2000,2010-04-01 22:38:48,340,failed,8,US,340,340,2000
1875927663,The Immortals,Comic Books,Comics,USD,2016-05-18,3500,2016-04-18 08:51:59,278,failed,15,US,278,278,3500
1426101488,American Son - EP,Music,Music,USD,2016-12-29,8000,2016-11-29 19:33:23,10,failed,1,US,0,10,8000
1996542185,At your demand:  The Honey on vinyl,Music,Music,USD,2013-02-20,3333,2013-01-21 19:32:25,3397,successful,102,US,3397,3397,3333
693790103,VILLES- Handmade Zodiac Hand-Wound Mechanical Watch & Other,Product Design,Design,USD,2016-05-15,10000,2016-04-05 19:39:34,3340,canceled,12,US,3340,3340,10000
803538016,"Who the F*@% is Frank Zappa (Save the Vault, Tell the Story)",Documentary,Film & Video,USD,2016-04-09,500000,2016-03-08 17:40:57,1126036.89,successful,8688,US,1126036.89,1126036.89,500000
1141473483,"Plant-e: Green, Clean Electricity from Living Plants",Technology,Technology,EUR,2015-01-04,25000,2014-12-04 10:51:00,6923.01,failed,88,NL,8582.39,8178.1,29532.33
2143887788,Meadowmount School of Music 2016,Music,Music,USD,2016-05-15,3500,2016-05-02 02:55:23,0,failed,0,"N,0""",,0,3500
934800851,"Hannah Paris - New Single - ""Just You Wait""",Country & Folk,Music,GBP,2017-11-10,750,2017-10-27 17:54:14,964,successful,61,GB,0,1271.3,989.08
682884785,"BigSound 15W Portable Bluetooth Speaker for iPhone, Android",Sound,Technology,USD,2014-10-20,15000,2014-09-30 22:59:47,22017,successful,452,US,22017,22017,15000
1658268751,In The Heights,Musical,Theater,EUR,2017-08-23,1500,2017-08-02 17:06:22,1600,successful,30,IE,59.13,1889.29,1771.21
493906299,The Band Justus Single (Burning With Your Love),Music,Music,USD,2014-04-20,5250,2014-03-19 21:38:35,160,failed,4,US,160,160,5250
462841965,Darkhorse Championship Wrestling,Webseries,Film & Video,USD,2013-07-01,8000,2013-05-30 17:52:24,25,failed,1,US,25,25,8000
1797539761,The Final Lonely Chapter of Sadboy,Comics,Comics,USD,2011-12-26,1500,2011-10-27 23:37:42,355,failed,6,US,355,355,1500
1202622222,Handmade Jewelry - Help Fund Towards Materials!,Crafts,Crafts,USD,2014-04-15,275,2014-03-11 20:44:54,49,failed,2,US,49,49,275
1047776749,Dream of Emerald Hill,Shorts,Film & Video,GBP,2015-02-02,4000,2015-01-03 04:11:20,4001,successful,41,GB,6234.52,6128.7,6127.17
1777452414,Her Halo: Painting Project,Mixed Media,Art,USD,2012-12-23,1200,2012-12-14 08:55:25,1203,successful,15,US,1203,1203,1200
578130592,Joel Fry + New Music = IT'S ABOUT TIME!,Music,Music,USD,2013-10-06,11000,2013-09-05 01:38:12,2950,failed,13,US,2950,2950,11000
561158659,The Canaanite Woman Project,Drama,Film & Video,USD,2017-09-28,30000,2017-08-14 18:39:07,25,failed,1,US,0,25,30000
358696942,The Ecstatic 7 Inch Vinyl Release!!,Hip-Hop,Music,USD,2011-10-29,1000,2011-09-29 21:07:29,0,failed,0,US,0,0,1000
448903683,Distinctive Handmade Bow Tie by ELEMENTI,Accessories,Fashion,JPY,2017-12-15,1000000,2017-11-15 04:04:23,23680,failed,4,JP,0,211.07,8913.45
1488896892,Greek Street,Food Trucks,Food,USD,2015-09-10,5000,2015-08-20 23:54:36,5070,successful,33,US,5070,5070,5000
1004080416,(BT) Block Tower,Live Games,Games,USD,2014-09-01,2000,2014-07-03 23:17:07,0,failed,0,US,0,0,2000
1701077353,The cigarette butt museum,Public Art,Art,EUR,2015-11-30,50000,2015-10-31 09:50:59,30,failed,2,LU,32.94,32.71,54510.17
196755581,Section Comb Honey,Food,Food,USD,2013-11-29,1000,2013-10-30 17:02:41,289,failed,12,US,289,289,1000
1922265201,Angry Dave Podcast,Radio & Podcasts,Publishing,USD,2015-09-13,1500,2015-08-14 18:08:30,1750.01,successful,33,US,1750.01,1750.01,1500
1095828337,"Production of ""How Green Was My Brownie"" by Jack Sharkey",Theater,Theater,USD,2013-03-31,3000,2013-03-01 15:20:01,0,failed,0,US,0,0,3000
1373160555,Live Painting - My First Opportunity of a Lifetime!,Painting,Art,USD,2013-03-06,160,2013-02-15 03:06:01,428,successful,11,US,428,428,160
2020608603,Sic Creations Inc. Terrain & Table top Accessories,Tabletop Games,Games,USD,2017-09-27,1000,2017-09-06 04:33:29,1889,successful,23,US,0,1889,1000
1911017153,"Dash Electric: The modular, future-proof electric longboard",Product Design,Design,USD,2016-12-18,100000,2016-11-18 04:03:44,13004,failed,29,US,8737,13004,100000
569104699,Help Fund Krampus,Illustration,Art,USD,2015-12-11,250,2015-11-11 21:30:02,726,successful,39,US,726,726,250
1939790460,Individually Handcrafted Hardwood Mesquite Dice,Games,Games,USD,2017-06-05,100,2017-05-22 02:54:31,795,successful,32,US,172,795,100
1314118978,SkateandSmoke.com,Hip-Hop,Music,USD,2015-08-19,25000,2015-07-20 23:47:58,0,failed,0,US,0,0,25000
1196186192,Neutral Grounds,Drinks,Food,USD,2015-01-21,150000,2014-12-22 20:52:08,25,failed,1,US,25,25,150000
798739704,Cratelist App -Manage all your crate subscriptions with ease,Apps,Technology,USD,2015-06-29,7250,2015-06-09 19:17:52,2,failed,1,US,2,2,7250
307237519,Dragonwing Fashion's Chainmaille Menagerie,Accessories,Fashion,CAD,2014-06-18,2000,2014-05-29 12:21:49,766,failed,17,CA,705.68,708.34,1849.45
2053715802,Jeff Wiim's First Celebrated Birthday Party! In a Cabin!,Hip-Hop,Music,USD,2015-03-21,250,2015-03-03 07:40:56,1,failed,1,US,1,1,250
1700059981,Sweet Old World - a personal doc/narrative film from the director of Sir! No Sir!,Documentary,Film & Video,USD,2010-09-13,20000,2010-07-28 18:55:48,20150,successful,153,US,20150,20150,20000
265207667,Elm Street (Nightmare on Elm Street Based Film),Horror,Film & Video,USD,2015-04-10,2600,2015-03-27 01:35:15,0,failed,0,US,0,0,2600
710530034,FSU Film School- 2012 MFA Thesis Films,Shorts,Film & Video,USD,2012-01-16,20000,2011-11-17 16:43:18,23700.5,successful,158,US,23700.5,23700.5,20000
1278833992,The Scruffy Drunk: The Wife in Space Volume 2 (Canceled),Nonfiction,Publishing,GBP,2015-05-15,4000,2015-04-21 14:33:42,338,canceled,16,GB,505.94,530.98,6283.78
1376519639,Flowsaber,Gadgets,Technology,USD,2017-04-02,12500,2017-03-08 22:33:35,43235,successful,122,US,1968,43235,12500
770445907,The Roller Coaster Project,Design,Design,USD,2014-02-28,3000,2014-01-29 21:09:50,3415.85,successful,100,US,3415.85,3415.85,3000
182889695,Tanya Gallagher's New Album,Country & Folk,Music,USD,2017-03-27,5000,2017-03-01 17:39:38,5776,successful,67,US,1486,5776,5000
2043633368,"""2000wHATevER: Timeless Music"" Album Project",Hip-Hop,Music,USD,2011-10-18,3850,2011-08-19 21:03:47,170,failed,9,US,170,170,3850
511615805,Launching a youtube account with 4 professional videos,Music,Music,USD,2015-06-07,2000,2015-06-02 10:10:30,1,undefined,0,"N,0""",,1,2000
1998160832,The SICKLANDS - Pilot Episode. SciFi/Action/Thriller series,Webseries,Film & Video,GBP,2017-10-25,3500,2017-10-05 18:58:28,254,failed,8,GB,149.91,332.57,4582.65
1319668576,Plagued: The Miranda Chronicles Volume 2,Graphic Novels,Comics,GBP,2017-11-30,1500,2017-10-31 07:48:52,2103,successful,80,GB,229.95,2836.53,2023.2
310953390,"Observe: The Streets of Sacramento, CA - Photography Book",Photobooks,Photography,USD,2017-07-02,1000,2017-06-15 11:05:25,1255,successful,36,US,23,1255,1000
821870682,Truth Crushed to Earth Shall Rise Again (Canceled),Publishing,Publishing,USD,2011-08-02,20000,2011-05-04 17:50:22,675,canceled,8,US,675,675,20000
1605163133,Pitbulls: The Calender,Photography,Photography,USD,2014-10-26,10000,2014-10-14 21:28:16,0,failed,0,US,0,0,10000
1278514624,"Good Measure Indigo T-Shirt & Sweatshirt, Made in England.",Apparel,Fashion,GBP,2016-06-15,5000,2016-05-16 22:08:26,2600,failed,29,GB,3733.73,3714.66,7143.57
2069148272,Season 1,Apparel,Fashion,GBP,2016-07-05,500,2016-05-24 14:44:50,1,failed,1,GB,1.45,1.3,649.32
1028150535,crochet creations,Crochet,Crafts,CAD,2015-01-30,5000,2014-12-01 17:40:31,331,failed,4,CA,289.91,261.25,3946.33
1687539014,New Beginning At Worlds End,Food,Food,USD,2013-03-01,10000,2013-01-30 06:22:29,325,failed,6,US,325,325,10000
471150494,Ultimate Rose,Design,Design,CAD,2016-02-11,1500,2016-01-12 00:06:38,1253,failed,24,CA,884.17,899.95,1077.35
2024926816,Free Advice’s New Album,Country & Folk,Music,USD,2016-07-30,5000,2016-06-30 17:37:29,5397,successful,109,US,1702,5397,5000
1984220296,Mon Bébé Plush Dog Toys,Product Design,Design,USD,2015-11-01,12000,2015-09-29 19:55:27,3021,failed,52,US,3021,3021,12000
2058142742,Bioshock: A 10 Year Retrospective Documentary,Video Games,Games,USD,2017-08-12,50,2017-07-13 20:05:06,190,successful,14,US,0,190,50
1255245812,GAME - Flyest Bird Ever - Android/Apple/Tablets/PC/MAC,Video Games,Games,USD,2014-12-10,2000,2014-10-31 20:56:42,0,failed,0,US,0,0,2000
261377581,"New Studios, Destiny Arts Center in North Oakland",Performance Art,Art,USD,2013-02-10,25000,2012-12-12 20:12:39,27751.11,successful,328,US,27751.11,27751.11,25000
1624683482,Nightmares In The Neighborhood,Fiction,Publishing,USD,2013-01-03,30000,2012-12-04 15:34:29,1,failed,1,US,1,1,30000
675863793,CultureStreet’s Big Draw Yourself!,Public Art,Art,GBP,2015-08-02,3500,2015-06-25 10:58:23,41,failed,3,GB,64.53,63.62,5430.9
938815843,"Tool Show! with Master Dan ""The Journeyman"" Chuter",Comedy,Film & Video,CAD,2017-02-27,1000,2017-01-31 16:43:04,1,failed,1,CA,0,0.75,746.05
351358067,Itatice,Apparel,Fashion,USD,2015-06-14,10500,2015-05-15 07:26:47,0,failed,0,US,0,0,10500
31751027,My Peculiar Family - An Anthology,Anthologies,Publishing,USD,2015-08-31,8000,2015-08-01 16:16:05,3691,failed,81,US,3691,3691,8000
1722768934,Hayes Valley Farm Documentary,Documentary,Film & Video,USD,2012-07-22,150,2012-07-07 21:49:57,150,successful,9,US,150,150,150
712589359,Shugar,Narrative Film,Film & Video,USD,2014-09-26,11502,2014-07-28 21:56:00,0,failed,0,US,0,0,11502
1171365495,OPTIMOS phase One,Product Design,Design,USD,2012-09-08,6500,2012-08-06 21:44:21,2783,failed,15,US,2783,2783,6500
2076275744,Cosmic Chain #2,Comic Books,Comics,USD,2017-10-05,390,2017-09-05 10:11:36,166,failed,10,US,0,166,390
482738075,Surplus 1980 album funds for release on CD/LP.,Indie Rock,Music,USD,2011-07-05,3200,2011-05-24 02:31:06,3210,successful,75,US,3210,3210,3200
2119914761,At the edge of eternity,Translations,Publishing,CAD,2015-09-21,2500,2015-08-17 20:14:04,5,failed,1,CA,3.82,3.76,1877.86
846193306,GAYLOCALE We Have Arrived!,Web,Technology,USD,2014-11-12,35000,2014-10-31 13:48:17,1108,failed,11,US,1108,1108,35000
1934583007,Pencil case window t shirt,Apparel,Fashion,AUD,2015-04-01,10000,2015-03-02 23:28:40,0,failed,0,AU,0,0,7550.59
1342786242,Beer Poix: The South Philly Roast Pork Sandwich (Pilot),Webseries,Film & Video,USD,2013-08-07,5000,2013-07-10 21:31:19,1205,failed,24,US,1205,1205,5000
120318669,2014 Fine Art Photography Calendar,Photography,Photography,USD,2013-12-24,500,2013-12-04 00:51:30,1041,successful,45,US,1041,1041,500
116428318,Self-Publishing of my first novel: Crystal Dreams,Fiction,Publishing,USD,2012-04-04,2000,2012-02-04 02:29:36,187,failed,13,US,187,187,2000
738036145,"""Voyager""",Documentary,Film & Video,USD,2015-02-19,100,2015-01-20 19:04:33,1526,successful,57,US,1526,1526,100
736452431,STARSLIDER - Smart and Modular Camera Gears,Camera Equipment,Technology,EUR,2017-02-15,60000,2017-01-11 21:32:32,75225,successful,83,IT,2111.05,80114.38,63899.81
45492412,Supply Imagine Mini,Crochet,Crafts,USD,2015-08-31,500,2015-08-01 18:51:20,0,failed,0,US,0,0,500
932583308,"""Juliebug"" Short Film - Rediscover the Wonder of Childhood",Shorts,Film & Video,USD,2015-07-01,20000,2015-06-01 18:16:39,20034,successful,80,US,20034,20034,20000
128891127,Tour de France Daily Poster - The Book,Art Books,Publishing,USD,2016-11-28,15000,2016-11-07 05:00:50,21934,successful,363,US,912,21934,15000
523824600,Davy and Stormy ( A Childrens story book),Children's Books,Publishing,USD,2012-09-07,3990,2012-08-08 01:55:05,55,failed,2,US,55,55,3990
1002894446,Carnival Arts Exhibit at Miami International Airport,Art,Art,USD,2013-01-27,5000,2012-12-28 21:50:10,5001.31,successful,35,US,5001.31,5001.31,5000
1193413726,Silliness breeds sanity. (Canceled),Art,Art,USD,2016-05-21,15,2016-04-21 00:57:39,1,canceled,1,US,1,1,15
1380337535,The Anna-Lee by Venture Guitars,Product Design,Design,USD,2012-12-14,15000,2012-11-14 15:11:39,1801,failed,44,US,1801,1801,15000
1012791990,The Gigolo,Shorts,Film & Video,GBP,2014-01-31,15000,2013-12-04 16:50:02,401,failed,4,GB,656.18,659.88,24683.64
2132173927,Rasputin Beard Company,Fashion,Fashion,USD,2015-07-04,500,2015-06-04 20:02:59,0,failed,0,US,0,0,500
1480893771,"General Monk.... ""Grey""",Hip-Hop,Music,USD,2012-08-14,800,2012-07-09 21:38:52,64,failed,3,US,64,64,800
